id;tweet;label;new_label
52440;@user @user If you want to call out right wingers, then do it over substance, not a knee jerk reaction of taking sides.;0;0
52455;Why you hate immigrants?;0;0
52500;DO YOU SEE HOW QUICK THE PROSECUTED THAT BLACK COP IN MPLS. MN. FOR KILLING THAT WHITE NIGGA??? GUESS BARR HAND A HAND IN THAT TO HUH. THESE NIGGA'S ARE GONNA GET THEIR DAY!!;1;1
52502;@user @user Yea why don't you just find another dick to suck. It shouldn't be too hard to find. Just shut the fuck up and continue being the whore that you are.;1;1
52505;This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.;0;1
52506;NUGS lauds Ghanaian Muslims for their immense contribution to peace and progess - URL;0;0
52748;@user Fuck you, faggot.;1;1
52757;BBC News - The Yazidi family reunited after being IS slaves URL;0;0
52761;RT @user: just knowing U can still go out and bag some bitches is good enough for me.... The headace that comes with bagging summ&#8230;0;0
52767;Please help support nonbinary pride, add a #Twibbon now! URL;0;0
52939;"RT @user: ""Muslim Americans feel they've been targetedÃ¢â‚¬Â - Obama No mention of Jews, victims 60% of the time (h/t @user) http:Ã¢â‚¬Â¦";1;0
52944;31 Black Women Who Died In Police Custody URL;0;0
53244;Lailat al Miraj mubarak to all Muslims.. I'm wishing for everyone's peace & prosperityÃ°Å¸Â¤Â²Ã°Å¸ÂÂ»;0;0
53246;There are not any jew signatures on our Declaration of Independence Those subversive Babylonian blood sucking serpent seed Kenite vampires are not out Founding Fathers posterity. They are not our brethren. They are Christ killers. They are Anti-Christ.;1;1
53249;It's actually because men need to be funny to hook up with women. We train to be funny, whereas a lot of women comedians think people should laugh just because they are on stage and the audience should be supportive. If you aren't funny, we aren't going to laugh. I've heard great female comedians, but it's not hard to see why there are more male comedians. Girls don't need to be funny to have sex.;0;0
53251;@user @user @user @user ILLEGAL aliens in the USA who do commit crimes are 100% certain to commit those crimes against anyone living in the USA. Stop confusing yourself. Illegals and immigrants are in two different categories. Tired of your delusional B.S.;1;1
53756;An amazing Friday with an amazing wish this Friday is the last Fariday of Ramadan so celebrated in thanking Allahjj almighty for awarding us this special month which belongs #Jumma_tul_wida Ã°Å¸Ëœâ€¡ URL;0;0
53759;I have a few. Don't lower yourself to fucking fat ugly men and black men because they have a big cock. They are uglier than hell. If you want someone to play with or smash on you give me a ring;0;1
53760;#whitepower...I'll hang you nigger;1;1
54136;Its fire but u still gay nigga;0;1
54139;Being a woman had fuck all go do with her failure, her being a paedophile protecting globalist Zionist cunt is her own making, as a human, and I use that term lightly because that whore of the devil has a black heart!;1;1
54142;I know this has nothing to do with race... but I'm proud of a fellow Canadian-Asian;0;0
54149;@user fucking losers wetbacks #SorryNotSorry;0;1
54154;"Not any more because Cosby got sent to prison and Epstein will be sent to ""Jewish prison"" which is where rich globalist Jews go and its like a hotel for regular people.";0;0
54635;Fucking fagot burn in hell;1;1
54640;EAT SHIT REDNECK CUNTS;1;1
54641;"it's funny how it's always white people shooting up places but they're the first to say they wanna deport Mexicans bcs they're ""dangerous"" and all ""criminals"" lmfaooo okay Ã°Å¸Â¤Â¡ URL";0;0
54646;RT @user: Miley Cyrus pussy probably taste like wet dog, she has a negative ass, and the bitch looks like Justin Bieber, she so ove&#8230;1;1
54662;Why did I click on your profile? You gave no source anyway, you just are a hateful human being. Good grief. You have been given sources by others disproving your statements, but no you didn't, once you cited the hatesub GC, that is used only to missrepresent Transgender people and to deny their existence;0;0
55412;people judge girls because we go out and drink?? lmao I don't get it. I don't fuck and suck nobody. I go to HAVE FUN. And most of the time I'm not even drinking because I enjoy dancing. Only the people that actually have seen me out know I be sober most of the time.;0;0
55413;i hate jews so much i wish the holocaust actually happened;0;1
55414;Brokeback Mountain.  Oh wait, no you've definitely seen that already.  Btw- you're quite the professional asshole OP! Randomly glanced at a few of your comments and just wanted to pop in and say 'go fuck yourself' on behalf of the rest of the world.  You are the worst. Do better.  I'll save you the trouble of throwing a tantrum and calling me a retarded 'fag' or your other favourite 'fucktard' and let you know right now that this fucktarded faggot has your number.  (Got it from a bathroom stall);1;1
55415;Ted Cruz rips Ilhan Omar for implying Latinos are too dumb for merit-based immigration URL;0;0
55416;At 7:19 is why I hate people, women especially look how mad she got just because the dog splashed her.. f*** you you stupid b**** either have fun or go kill yourself;0;1
55429;YOU SHOULD CHIP A NIGGA THEN THROW THE BLOWER IN HIS LAP;1;1
55432;Blessing Okoro joins other Nigerians to mock herself by re-enacting her GATE scene (Video) URL URL;0;0
55693;Zach Huggins tell yo bitch to leave me tf alone;0;0
55695;Boy from Pakistan lives in American't land and quickly becomes a pervert involved in debauchery making shows about jerking off men.  America...on behalf of the rest of the world kill yourselves asap.;1;1
55706;"This """"well mannered"""" #BeachDebbie attacked an African-American woman while telling her """"go back to where she came from"""". Trump supporter?   URL";0;0
56067;"Are the police saying that raping a calf is an ""essential practice"" of Ansari's religion? URL";0;0
56068;gay people should die;1;1
56071;it probably will tho. women are unfortunately vain creatures;0;1
56077;He should order all these maggots back to there countrys.;1;1
56088;88% of restaurant dishwashers are men: http://t.co/y6xi08Nt9Q @user Call me sexist, but doing dishes isn't a mans job.;1;0
56416;Fuck. 10 whole moms?;1;0
36607;They are a bunch of gay dweebs.;0;0
56420;they shot another monkey lmaooooooooooo;1;1
56422;Look at the racist australian trash. Inbred white trash;1;1
56429;We had a sort of 1968 in Poland, but we used it to expel most of the remaining Jews, LUL.;0;0
36665;Thats bad when your bestfriend says yu act like a hoe Cx;0;0
56844;never use your pussy for revenge that's the worst shit you can do being as though these niggas don't care who you fucking at the end of the day.;0;0
56847;incels b like The five **stages**, denial, anger, bargaining, depression and acceptance are a part of the framework that makes up our learning to live with being rejected;0;0
56848;Can someone get me cheese and crackers;0;0
57267;American should stop invading any country through regime change. Other wise Asylums must keep on coming to United States.;0;0
57268;Hate on what bitch http://t.co/QzTnw6cdKi;0;0
57271;@user atleast i dont have dick breath you twat licker;0;1
57273;so woman in mens right must b a whore who lowes dick? joe rogan is a retard cause if a man is a feminist he must looowe pussy fuck working for a cause;1;0
57756;PM @user Ji in his recent address outlined the importance of respecting the rights of Minorities & securing their participation It was Baba Saheb Ambedkar who realised that Minorities need special status so that they are brought at par and cover up for yrs of suppression URL;0;0
57757;JEW Get the fuck out of here you jewish son of a bitch, I'll rape your fucking family if you don't leave you semite bastard. I will shoot you if you return, because you're a dirty semite, I hope you choke on a fucking bagel, prick. Shalom. We Came In?;1;1
57766;@user don't do dumbass things. i kicked the bot.;0;0
58254;Trans culture is seeing that and knowing that you look amazing, but having dysphoria leave you feeling hollow and constantly on the verge of tears. URL;0;0
58263;Australia, you are a repulsive gang of racist homophobic misogynist White Trash Unrepentant Land Thieves, and I disown you as my kin #auspol #PoliticsHQ #australiavotes2019;1;1
58264;In before the JIDF!;0;0
58802;"It's just really pointless and insulting to people who actually experience racism by implying our society is in need of a reminder that being a white person is okay. Because I doubt one genuine look at history would leave anyone wondering if ""being white"" in the U.S. will be perceived as a problem.  The very concept of on a personal level being okay with the fact you were born with the skin color you were born with is of course not racist. But the statement just makes it seem like white people are at risk to become some sort of outcasts.";0;0
58809;"Okay. Killing and caging ""brown kids"" is wrong. It was wrong then and it's wrong now. It is always wrong.";0;0
58817;Here y'all niggers go tonight Ã°Å¸Ëœâ€˜ URL;1;1
59208;So glad to see a proud minority woman like Warren out there on national stage;0;0
59210;shut the fuck up you dumb black bitch;1;1
59211;Yeah that makes sense. Honestly I dont know a lot about catholic religion and it confused me when people talked about how strict catholic religion is, but that is only because of nondenominational being less strict;0;0
59215;@user sweet. no one has used this yet, and there appears to be somewhat of a delay. watching to see when it goes through.;0;0
59217;I agree! All the black people saying the cop should be punished for this is disgusting.;0;0
