id;tweet;label;manual_label
33390;#whitepower...I'll hang you nigger;1;1
33414;STOP SUCKING THAT FATASS' DICK, YOU NIGGERLOVING KIKE;1;1
33434;Those fucker give true muslims a bad name, killing innocents aint in islam;0;0
33499;Learn the fucking language you fucking useless immigrant.;1;1
33513;"Yea, even white suburban people here hate his shit. Get a better platform other than ""brown people bad""";0;0
33543;The only reasonable thing to do now is to kill someone and rape their corpse. Right, fags?;1;1
33552;Its not their race its cuz theyre rich you dumbfuck;0;0
33554;All you hindus should go back to paki you fucking indian go back to mexico!;1;1
33564;My kids are white, and I'm voting for the guy who isn't attempting to permanently cast them as tax cows devoid of political power. URL;0;0
33599;They all need to be Kicked, taken out of our country. Obama brought them all in Illegally. Send the Trash back to there own country;1;1
33633;Fucking fagot burn in hell;1;1
33653;yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them;1;1
33675;Your gf is a whore I bet;1;0
33691;Yes, in barbaric, authoritarian cultures that have since been condemned. Interesting that Christians desire to perpetuate the same idea.;0;0
33682;It's funny because the UK has allowed foreign powers to flood their once great country with inbred, low-IQ savages.;1;1
33694;Somebody find me this fucking pussy ass bitch URL;1;0
33699;Looks like a nigger with their typical retarded haircuts;1;1
33709;She's not Gypsy, she's Aromanian / Vlach;0;0
33740;"Calling your girl a ""bitch"" is so ugly";0;0
33759;I'm always amazed at these people who consider themselves religious yet do dumb ass shit like this.;1;0
33761;Nothing. Religion is an evil and all religious people should be killed for the greater good.;0;1
33771;If god was real and all powerful, he wouldn't let people use religion, or his name to do the horrible things the church has been responsible for over the centuries. If god is real, he's a fucking cunt.;0;0
33772;rust in peace there was no Jesus. The romans made up the Jesus story to divide and control people.;0;0
33874;Or, they need a man so bad they undergo parthenogenesis and create one.;0;0
33860;Congrats! That's great you're with someone you can be open about your sexuality with, this will only make your relationship stronger;0;0
33863;gay people should die;0;1
36301;A black person Acting scared of harmless Animals Just because..... What's new Dramatics are their specialty;0;0
36304;trump is the only jews true friend. I hope trump will be the next US president and help Israel to kill all Palestinian fucking muslim. we will kill all muslim in the world.;0;1
36361;He is a white male. He is always wrong and he got Lucky she just stole his bike. He should be dead!;0;0
36364;GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!;1;1
36382;All Of These Repugnant Muslim Paedophile Rapists Share These Things In Common. Everyone Of Their Victims Was A British White Underaged Girl That They Raped. Not One Of Their Victims Was Muslim. URL;0;0
