,id,tweet,label,label_manual,creator
0,133373.0,Post the shit or kill yourself faggot,1.0,1,Elena
2,133380.0,i hate jews so much i wish the holocaust actually happened,1.0,1,Elena
3,133405.0,Poor kid would have been better off with his head chopped off in utero with no hope of pulling himself up by his boot straps...sheesh. F'ing savages.,1.0,1,Elena
10,133444.0,"Close your fucking legs, hoe. Use birth control. Use condoms. Abort before 6 weeks. Why fuck and get impregnated by someone you ain't settled down with? Cry harder, hoe.",1.0,1,Elena
11,133453.0,@user @user Please take away their license to breed. Looks like they have a chromosome missing.,1.0,1,Elena
15,133464.0,"Put them in a airplane, and take them back to where they came from. We don't have a fucking illegal sitting in the White House anymore. NO MORE ILLEGALS, AND NO MORE FUCKING DEMOCRATS. YOU BOO GOD, YOU GO TO HELL.",1.0,1,Elena
19,133491.0,"GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!",1.0,1,Elena
23,133505.0,"My God look at these BARBARIC PPL. And these pigs all watching. They r a very, very sick culture. And Omar and Rashid want this crap here. This is America not the Middle East. Round them up and send them home.",0.0,1,Elena
24,133506.0,I will cut you off for breathing the wrong way.. i am not plizayin wit these niggers,1.0,1,Elena
29,133525.0,Go smoke some more Ganja you screaming aborigine dik. You look like you should be running across the outback chasing kangaroos.,1.0,1,Elena
30,133527.0,"shut up retard, go kill yourself",1.0,1,Elena
31,133531.0,Yuck bitch look a faggot shemale looking bitch,1.0,1,Elena
32,133536.0,"I mean, yeah. Y'all are being dumb white guys.",0.0,1,Elena
33,133538.0,Bussdown put a whole in a nigga,1.0,1,Elena
38,133555.0,A bitch bet not try to play with me about a nigga.,1.0,1,Elena
39,133559.0,Fuck that nigga and his ugly ass gf,1.0,1,Elena
43,133576.0,LOCK THEM UP! TRAITORS. RETHUGLICANS. Over privileged old white men.,1.0,1,Elena
49,133588.0,Niggas are reckless and careless STDs spread fast like that 🤢,0.0,1,Elena
51,133590.0,Every slant in #LosAngeles should be deported. Those scum have no right to be here. Chinatown should be bulldozed.,1.0,1,Elena
52,133592.0,"This is why we won, because Americans know that giving these people power for another day is unacceptable. We need to fight back against the Synagogue and their White/Mexican/Black Communist useful idiots they get to do their dirty work for them. I am armed and I am ready for these scum if they try to resist being sent back to Mexico/Guatemala all these illegal invaders that want to invade our nations and change it to suit their savage ways. Illegals must die.",1.0,1,Elena
54,133604.0,Looks like a nigger with their typical retarded haircuts,1.0,1,Elena
62,133630.0,"GET RID OF THOSE FUCKING MUSLIMS! the nasty ones that won't assimilate, rape women, beat children, threaten democracy, plan terror attacks, assault innocent secular people and force their disgusting religion on everyone else by way of violence. Assimilate OR GET THE FUCK OUT OR BE PREPARED TO DIE!",1.0,1,Elena
68,133642.0,"At 7:19 is why I hate people, women especially look how mad she got just because the dog splashed her.. f*** you you stupid b**** either have fun or go kill yourself",1.0,1,Elena
70,133661.0,"RT @user I'm not sexist, but women's basketball makes me want to puke",1.0,1,Elena
76,133674.0,RT @user im not sexist but it seems like females never have valid opinions when it comes to sports,1.0,1,Elena
77,133678.0,You must kill all non-believers.,0.0,1,Elena
78,133686.0,California would be a better place without all the dirty mexicans,0.0,1,Elena
80,133703.0,@user Fuck education they need castration,0.0,1,Elena
81,133725.0,Man just wait till the US leaves Afghanistan so we can deal with these a-holes,0.0,1,Elena
83,133728.0,Nice tits whore but show your holes next time,1.0,1,Elena
90,133843.0,Stupid Asian Bitch You're an idiot and you should go back to ching chong land,1.0,1,Elena
91,133847.0,"yeah, heres a clue for the nigger author of this article. Chinks hate niggers, Kikes hate niggers, Spicks hate niggers and Towelheads hate niggers. EVen niggers hate niggers. Black Africans hate the gauche lazy American blacks because they have no morals or work ethic. Niggrus Americanus is the lowest form of human (if you can even call them that) on the planet, we should erase them",1.0,1,Elena
92,133926.0,Some of you bitches deserve to be used as human shields.,1.0,1,Elena
93,133972.0,Keep the fucking Mexican scum rapists and murderers out of the country and the fucking Arab Islamic terrorists out of the U.S. too!! No Syrian refugees either!! Build a wall and keep all of these fucking parasites out of the United States. We'll round up the ones here illegally and ship them the fuck out!!!!,1.0,1,Elena
94,134022.0,Hitler didn't finish it. Can u. If a nigger ur Jew confronts u in the street what then.,1.0,1,Elena
95,134122.0,"Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.",1.0,1,Elena
96,134143.0,"Hey ,muslim dickhead !!!!!!!! Why don;t you go and shove Allah or whatever the fuck you call the retard up your stupid backwards ass !!!!!!!!! You fucking muslims are a bunch of jealous west hating mongs, Islam is a peaceful religion, BULLSHIT !!!!!!! There are many times when it refers to violence. So go strap on your suicide bomb and blow yourself up. yey, one less feeble minded prick ion the world.",1.0,1,Elena
97,134260.0,kek those jews with their dumb little hats,1.0,1,Elena
98,134355.0,#whitepower...I'll hang you nigger,1.0,1,Elena
99,134361.0,"Display that nigger cunt, so I can judge if you worth some white cock!!",1.0,1,Elena
101,134575.0,gay people should die,1.0,1,Elena
103,134631.0,"The ""Simp"" Niggas  These Niggas Always Thinkibg about Pussy and Would Lose Their Mind If Porn Was Extinct In Any Fasion. URL",1.0,1,Elena
104,134653.0,shut the fuck up you dumb black bitch,1.0,1,Elena
105,134681.0,"FUCK OFF LESBITCH! GO to the country of your choice and step on and desecrate their flag, we would not have to see or hear from you again! Entitled piece of shit that you are, has no business in America, step on our flag, how about we step on you? If you were worth it, I would introduce you to my baseball bat! FUCKING LAVENDER HAIRED FREAK! NEWS FLASH BITCH, YOU ARE NOT SPECIAL.",1.0,1,Elena
